ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"Uty"	NA	chrNC_000087.8	-	1085186	1087766	1085186	1087088	1087581	1087766	0	0,0,18	0,0,0	10,9,14	1,1,2	593	100	1	1.0	NA,NA,1.0	0.628,0.603,0.541	0.409
1	"Uty"	NA	chrNC_000087.8	-	1245406	1245737	1245406	1245512	1245599	1245737	1	0,0,101	0,0,19	55,120,72	43,25,26	187	100	1	1.0	NA,NA,0.74	0.406,0.72,0.597	0.166
2	"Gm15246"	NA	chrNC_000086.8	+	168104750	168105838	168104750	168104829	168105745	168105838	2	112,103,53	0,1,4	147,99,144	0,0,1	1016	100	0.0168548099337	0.13918250264838866	1.0,0.91,0.566	1.0,1.0,0.934	-0.153
12	"Ofd1"	NA	chrNC_000086.8	-	165171564	165174954	165171564	165174054	165174886	165174954	12	19,3,6	13,17,22	19,11,10	35,28,19	932	100	0.853592331153	1.0	0.136,0.019,0.028	0.055,0.04,0.053	0.012
13	"Phka2"	NA	chrNC_000086.8	+	159285157	159285900	159285157	159285288	159285742	159285900	13	119,127,120	2,0,2	216,121,146	0,2,2	554	100	0.923028804866	1.0	0.915,1.0,0.915	1.0,0.916,0.929	-0.005
15	"Bclaf3"	NA	chrNC_000086.8	+	158349423	158350361	158349423	158349538	158350092	158350361	15	14,9,4	0,1,0	42,13,34	0,0,0	654	100	1	1.0	1.0,0.579,1.0	1.0,1.0,1.0	-0.14
17	"Klf8"	NA	chrNC_000086.8	+	152142837	152143479	152142837	152142960	152143291	152143479	17	0,0,1	0,0,0	0,4,4	0,0,8	431	100	1	1.0	NA,NA,1.0	NA,1.0,0.104	0.448
18	"Huwe1"	NA	chrNC_000086.8	+	150586751	150587536	150586751	150586798	150587441	150587536	18	30,31,41	3,8,3	70,33,34	8,6,0	743	100	0.41274222599	0.8694451624404734	0.574,0.343,0.648	0.541,0.425,1.0	-0.134
19	"Maged2"	NA	chrNC_000086.8	-	149589705	149590177	149589705	149589843	149589909	149590177	19	370,314,416	69,49,52	424,362,355	57,33,65	166	100	0.367250952925	0.8269915179174476	0.764,0.794,0.828	0.818,0.869,0.767	-0.023
20	"Tro"	NA	chrNC_000086.8	-	149428689	149432651	149428689	149430409	149430469	149432651	20	42,49,24	13,16,7	34,55,100	8,14,17	160	100	0.137755049932	0.4953615936948687	0.669,0.657,0.682	0.726,0.711,0.786	-0.072
21	"Tro"	NA	chrNC_000086.8	-	149428689	149432651	149428689	149431495	149431597	149432651	21	170,227,93	9,7,4	90,156,459	5,4,15	202	100	0.648127794371	1.0	0.903,0.941,0.92	0.899,0.951,0.938	-0.008
22	"Tro"	NA	chrNC_000086.8	-	149428689	149432651	149428689	149431546	149431648	149432651	22	209,252,89	7,4,2	97,168,544	6,6,16	202	100	0.161601866517	0.5416029082850085	0.937,0.969,0.957	0.889,0.933,0.944	0.032
23	"Tro"	NA	chrNC_000086.8	-	149428689	149432651	149428689	149432254	149432284	149432651	23	32,39,15	11,19,4	18,47,63	10,10,25	130	100	0.808362435863	1.0	0.691,0.612,0.743	0.581,0.783,0.66	0.007
24	"Tro"	NA	chrNC_000086.8	-	149428689	149432651	149428689	149429115	149432460	149432651	24	2903,3479,1460	0,0,1	1609,2700,6691	0,0,1	3445	100	1	1.0	1.0,1.0,0.977	1.0,1.0,0.995	-0.006
25	"Gm31214"	NA	chrNC_000086.8	+	134820646	134833726	134820646	134827637	134828799	134833726	25	0,0,6	0,1,0	1,0,0	0,0,0	1262	100	1	1.0	NA,0.0,1.0	1.0,NA,NA	-0.5
26	"Armcx2"	NA	chrNC_000086.8	-	133708202	133708474	133708202	133708262	133708351	133708474	26	13,43,37	2,4,0	34,38,100	2,3,3	189	100	0.61676235888	1.0	0.775,0.85,1.0	0.9,0.87,0.946	-0.03
27	"Armcx2"	NA	chrNC_000086.8	-	133708202	133708474	133708202	133708262	133708369	133708474	27	13,44,38	250,208,254	35,38,106	183,217,283	207	100	5.49865377224e-05	0.004008638452447575	0.025,0.093,0.067	0.085,0.078,0.153	-0.044
28	"Drp2"	NA	chrNC_000086.8	+	133341083	133342135	133341083	133341169	133341977	133342135	28	187,178,186	143,174,140	249,197,240	167,123,143	908	100	0.0234059134565	0.1700511263370204	0.126,0.101,0.128	0.141,0.15,0.156	-0.031
30	"Pbdc1"	NA	chrNC_000086.8	+	104159919	104160696	104159919	104160031	104160432	104160696	30	219,199,173	14,22,18	135,139,109	9,10,19	501	100	0.835022810899	1.0	0.757,0.644,0.657	0.75,0.735,0.534	0.013
38	"Itgb1bp2"	NA	chrNC_000086.8	+	100506745	100507685	100506745	100506900	100507485	100507685	38	10,0,0	0,0,2	2,1,0	1,0,0	685	100	1	1.0	1.0,NA,0.0	0.226,1.0,NA	-0.113
41	"Ophn1"	NA	chrNC_000086.8	-	97933986	97934631	97933986	97934105	97934303	97934631	41	57,69,68	0,2,3	74,38,65	0,0,2	298	100	0.12754977063	0.4746451394872474	1.0,0.92,0.884	1.0,1.0,0.916	-0.037
42	"Maged1"	NA	chrNC_000086.8	-	93581281	93581671	93581281	93581361	93581579	93581671	42	321,289,322	2999,2717,2857	514,412,682	2589,2901,3593	318	100	2.53709432685e-07	0.00011612643176039144	0.033,0.032,0.034	0.059,0.043,0.056	-0.02
43	"Klhl15"	NA	chrNC_000086.8	+	93278300	93279026	93278300	93278731	93278826	93279026	43	4,11,11	2,1,5	2,10,9	6,0,6	195	100	0.540066677341	0.9921867168581217	0.506,0.849,0.53	0.146,1.0,0.435	0.101
44	"Klhl15"	NA	chrNC_000086.8	+	93296020	93299574	93296020	93296732	93297545	93299574	44	12,9,3	0,6,1	12,20,19	2,2,0	913	100	0.236444403607	0.6622096758363881	1.0,0.141,0.247	0.397,0.523,1.0	-0.177
46	"Cmc4"	NA	chrNC_000086.8	-	74459620	74460190	74459620	74459819	74460143	74460190	46	121,108,116	7,7,13	189,121,146	18,15,25	424	100	0.0599089939115	0.3070112542293943	0.803,0.784,0.678	0.712,0.655,0.579	0.106
47	"Fam3a"	NA	chrNC_000086.8	-	73436280	73436856	73436280	73436353	73436704	73436856	47	956,865,898	13,13,8	745,987,798	23,13,7	451	100	0.203387748457	0.6200326794064966	0.942,0.937,0.961	0.878,0.944,0.962	0.019
48	"Irak1"	NA	chrNC_000086.8	-	73057519	73059107	73057519	73057731	73059011	73059107	48	3875,3440,4017	2,8,7	3818,4004,3023	7,7,1	1380	100	0.774407580244	1.0	0.993,0.969,0.977	0.975,0.976,0.995	-0.002
54	"Ints6l"	NA	chrNC_000086.8	+	55500239	55500886	55500239	55500676	55500808	55500886	54	44,34,36	58,54,34	72,26,47	40,44,87	232	100	0.809504822128	1.0	0.246,0.213,0.313	0.437,0.203,0.189	-0.019
55	"Ints6l"	NA	chrNC_000086.8	+	55538398	55539603	55538398	55538493	55539492	55539603	55	379,317,276	27,40,17	432,331,571	36,14,39	1099	100	0.279642312455	0.7281759378690951	0.561,0.419,0.596	0.522,0.683,0.571	-0.067
56	"Ints6l"	NA	chrNC_000086.8	+	55552239	55553187	55552239	55552359	55552573	55553187	56	197,201,161	4,7,3	255,245,327	8,1,7	314	100	0.739233384231	1.0	0.94,0.901,0.945	0.91,0.987,0.937	-0.016
58	"Mospd1"	NA	chrNC_000086.8	-	52433470	52434866	52433470	52433783	52434184	52434866	58	395,364,453	2,1,0	514,402,296	3,0,0	501	100	1	1.0	0.975,0.986,1.0	0.972,1.0,1.0	-0.004
59	"Smarca1"	NA	chrNC_000086.8	-	46898246	46900145	46898246	46898997	46900003	46900145	59	173,200,113	8,3,5	117,166,368	3,1,7	1106	100	0.0946021500264	0.3956988102931927	0.662,0.858,0.671	0.779,0.938,0.826	-0.117
60	"Smarca1"	NA	chrNC_000086.8	-	46898246	46900145	46898246	46898997	46900034	46900145	60	180,200,115	6,18,6	120,168,373	7,15,18	1137	100	0.831034080391	1.0	0.725,0.494,0.628	0.601,0.496,0.646	0.035
61	"Gria3"	NA	chrNC_000086.8	+	40489350	40490532	40489350	40490129	40490405	40490532	61	665,542,427	12,1,8	557,535,437	8,7,2	376	100	0.652877305834	1.0	0.936,0.993,0.934	0.949,0.953,0.983	-0.007
62	"Wdr44"	NA	chrNC_000086.8	+	23559289	23559778	23559289	23559508	23559663	23559778	62	88,106,99	4,8,6	66,92,138	19,1,2	255	100	0.88244514678	1.0	0.896,0.839,0.866	0.577,0.973,0.964	0.029
63	"Ndufb11"	NA	chrNC_000086.8	-	20483298	20483858	20483298	20483520	20483608	20483858	63	278,268,301	62,62,58	246,271,204	100,71,55	188	100	0.0157892462593	0.1348542176891682	0.705,0.697,0.734	0.567,0.67,0.664	0.078
67	"Porcn"	NA	chrNC_000086.8	-	8064213	8065143	8064213	8064324	8064444	8065143	67	58,43,36	3,7,0	21,55,154	2,2,25	220	100	0.180862154222	0.5812260201878515	0.898,0.736,1.0	0.827,0.926,0.737	0.048
68	"Porcn"	NA	chrNC_000086.8	-	8064444	8065391	8064444	8065143	8065305	8065391	68	65,78,35	0,1,1	50,61,281	1,0,2	262	100	1	1.0	1.0,0.968,0.93	0.95,1.0,0.982	-0.011
69	"Otud5"	NA	chrNC_000086.8	+	7707600	7708949	7707600	7707639	7707725	7708949	69	62,57,105	5,5,2	65,84,43	5,0,5	186	100	0.830737385677	1.0	0.87,0.86,0.966	0.875,1.0,0.822	-0.0
70	"Otud5"	NA	chrNC_000086.8	+	7705851	7708949	7705851	7708707	7708836	7708949	70	240,289,300	25,44,22	210,207,349	56,43,42	229	100	0.00727178890878	0.08448278252962826	0.807,0.741,0.856	0.621,0.678,0.784	0.107
71	"Gripap1"	NA	chrNC_000086.8	+	7684534	7685560	7684534	7684628	7685405	7685560	71	349,375,290	210,224,153	274,367,510	107,209,286	877	100	0.279063644018	0.7281759378690951	0.159,0.16,0.178	0.226,0.167,0.169	-0.022
72	"Gripap1"	NA	chrNC_000086.8	+	7685405	7686802	7685405	7685560	7686240	7686802	72	147,132,130	189,197,171	99,98,184	134,215,233	780	100	0.323710509802	0.7882185756874442	0.091,0.079,0.089	0.087,0.055,0.092	0.008
74	"Csf2ra"	NA	chrNC_000085.7	-	61213761	61214090	61213761	61213858	61213960	61214090	74	135,118,90	89,89,62	98,108,158	85,95,119	202	100	0.243385083934	0.6713924940809769	0.429,0.396,0.418	0.363,0.36,0.397	0.041
75	"Csf2ra"	NA	chrNC_000085.7	-	61213761	61214090	61213761	61213858	61214021	61214090	75	247,196,164	17,9,5	182,186,238	8,8,12	263	100	0.77974659019	1.0	0.847,0.892,0.926	0.896,0.898,0.883	-0.004
76	"Csf2ra"	NA	chrNC_000085.7	-	61213960	61214259	61213960	61214090	61214229	61214259	76	119,92,85	129,84,54	64,117,145	73,79,82	239	100	0.38991731953	0.8527611547946211	0.278,0.314,0.397	0.268,0.383,0.425	-0.029
77	"Csf2ra"	NA	chrNC_000085.7	-	61213960	61214493	61213960	61214090	61214365	61214493	77	249,205,189	2,4,6	126,267,244	7,4,8	375	100	0.17532973829	0.5703111487118375	0.971,0.932,0.894	0.828,0.947,0.891	0.044
78	"Csf2ra"	NA	chrNC_000085.7	-	61213960	61214493	61213960	61214259	61214365	61214493	78	244,189,179	63,55,41	113,234,204	39,39,44	206	100	0.494570066893	0.9597834611297225	0.653,0.625,0.679	0.584,0.744,0.692	-0.021
79	"Csf2ra"	NA	chrNC_000085.7	-	61214962	61215364	61214962	61215092	61215243	61215364	79	40,32,34	27,18,33	17,18,41	28,22,25	251	100	0.217925575353	0.641169461369157	0.371,0.415,0.291	0.195,0.246,0.395	0.08
80	"Sfxn4"	NA	chrNC_000085.7	-	60839396	60839894	60839396	60839512	60839617	60839894	80	33,23,19	4,2,17	37,36,40	11,10,4	205	100	0.868651525672	1.0	0.801,0.849,0.353	0.621,0.637,0.83	-0.028
81	"Sfxn4"	NA	chrNC_000085.7	-	60839396	60839894	60839396	60839512	60839793	60839894	81	64,52,67	2,0,2	96,89,96	4,2,1	381	100	0.404995649402	0.8666406320224084	0.894,1.0,0.898	0.863,0.921,0.962	0.015
82	"Rab11fip2"	NA	chrNC_000085.7	-	59891315	59895575	59891315	59894726	59895367	59895575	82	499,698,521	10,9,8	577,561,780	14,8,9	741	100	0.906342253382	1.0	0.871,0.913,0.898	0.848,0.904,0.921	0.003
85	"Trub1"	NA	chrNC_000085.7	+	57475605	57479437	57475605	57475753	57476440	57479437	85	183,116,97	57,47,65	241,106,189	68,56,92	787	100	0.750346033686	1.0	0.29,0.239,0.159	0.311,0.194,0.207	-0.008
88	"Pdcd4"	NA	chrNC_000085.7	+	53917513	53918284	53917513	53917623	53918147	53918284	88	2876,3462,3061	133,109,163	3458,2950,2790	193,134,171	624	100	0.0401825588733	0.2389944827440813	0.776,0.836,0.751	0.742,0.779,0.723	0.04
91	"Pcgf6"	NA	chrNC_000085.7	-	47028482	47030578	47028482	47028581	47030560	47030578	91	441,370,285	5,16,2	490,320,489	11,4,25	2079	100	0.340795273858	0.8058362047535291	0.809,0.527,0.873	0.682,0.794,0.485	0.083
92	"Pcgf6"	NA	chrNC_000085.7	-	47028482	47031232	47028482	47028581	47031204	47031232	92	544,440,341	19,10,21	600,388,614	34,37,12	2723	100	0.48760979618	0.955536261138055	0.513,0.618,0.374	0.393,0.278,0.653	0.06
93	"Pcgf6"	NA	chrNC_000085.7	-	47028482	47031232	47028482	47030578	47031204	47031232	93	118,77,60	7,18,5	119,72,139	9,9,21	726	100	0.913280712732	1.0	0.699,0.371,0.623	0.646,0.524,0.477	0.015
94	"Psd"	NA	chrNC_000085.7	-	46311566	46313452	46311566	46311921	46312714	46313452	94	66,138,48	0,0,2	98,91,201	0,0,1	893	100	1	1.0	1.0,1.0,0.729	1.0,1.0,0.957	-0.076
95	"Psd"	NA	chrNC_000085.7	-	46314605	46315303	46314605	46314621	46314839	46315303	95	49,82,20	0,0,0	62,43,219	0,0,5	318	100	0.384777328762	0.846946984335577	1.0,1.0,1.0	1.0,1.0,0.932	0.023
96	"Psd"	NA	chrNC_000085.7	-	46314605	46315303	46314605	46314661	46314839	46315303	96	25,36,10	2,16,5	34,20,92	14,7,34	278	100	0.550916058531	0.9971014761755899	0.818,0.447,0.418	0.466,0.507,0.493	0.072
97	"Psd"	NA	chrNC_000085.7	-	46314605	46315303	46314605	46314661	46314901	46315303	97	28,46,14	27,31,2	44,26,110	43,17,46	340	100	0.811009053231	1.0	0.234,0.304,0.673	0.231,0.31,0.413	0.086
98	"Psd"	NA	chrNC_000085.7	-	46314605	46315593	46314605	46314621	46315336	46315593	98	69,124,35	1,2,3	116,67,359	9,0,8	815	100	0.534063616984	0.9884643820823515	0.894,0.884,0.589	0.613,1.0,0.846	-0.031
99	"Psd"	NA	chrNC_000085.7	-	46314605	46315593	46314605	46314661	46315336	46315593	99	45,78,25	13,5,5	88,44,232	9,6,33	775	100	0.593256261798	1.0	0.309,0.668,0.392	0.558,0.486,0.476	-0.05
100	"Psd"	NA	chrNC_000085.7	-	46314605	46315593	46314605	46314661	46315446	46315593	100	52,99,36	0,0,0	94,47,298	2,0,4	885	100	0.0114684087749	0.11101142512018006	1.0,1.0,1.0	0.842,1.0,0.894	0.088
101	"4833438C02Rik"	NA	chrNC_000085.7	-	46293546	46294068	46293546	46293630	46293800	46294068	101	69,84,104	5,10,11	119,115,69	11,1,7	270	100	0.15006756013	0.5200697250355719	0.836,0.757,0.778	0.8,0.977,0.785	-0.064
102	"Slf2"	NA	chrNC_000085.7	+	44929897	44931378	44929897	44930865	44931320	44931378	102	26,59,15	3,3,1	27,13,171	0,2,5	555	100	0.282620888772	0.7333509260771913	0.61,0.78,0.73	1.0,0.539,0.86	-0.093
103	"Sorbs1"	NA	chrNC_000085.7	-	40365088	40365460	40365088	40365247	40365427	40365460	103	579,610,573	13,24,14	885,837,800	42,14,24	280	100	0.588307069458	1.0	0.941,0.901,0.936	0.883,0.955,0.923	0.006
104	"Gm32771"	NA	chrNC_000085.7	-	38255306	38256629	38255306	38255362	38256548	38256629	104	18,11,19	0,2,0	10,16,55	0,0,0	1286	100	0.51693730856	0.9788812864221277	1.0,0.3,1.0	1.0,1.0,1.0	-0.233
105	"Gm32771"	NA	chrNC_000085.7	-	38255306	38256972	38255306	38256629	38256875	38256972	105	6,17,3	0,1,0	2,9,29	0,1,0	346	100	1	1.0	1.0,0.831,1.0	1.0,0.722,1.0	0.036
106	"Gm32771"	NA	chrNC_000085.7	-	38257691	38260784	38257691	38257779	38260695	38260784	106	70,114,66	2,0,1	52,48,298	0,0,0	3016	100	0.595488730849	1.0	0.537,1.0,0.686	1.0,1.0,1.0	-0.259
110	"Cdc37l1"	NA	chrNC_000085.7	+	28989288	28990310	28989288	28989453	28990187	28990310	110	252,241,237	121,143,153	256,295,259	196,169,152	834	100	0.34755480492	0.8117104082921631	0.2,0.168,0.157	0.135,0.173,0.17	0.016
111	"Vldlr"	NA	chrNC_000085.7	+	27190069	27195096	27190069	27194348	27194942	27195096	111	61,55,85	1,2,4	124,52,192	21,2,5	694	100	0.132994529455	0.48367136478299666	0.898,0.798,0.754	0.46,0.789,0.847	0.118
112	"Vldlr"	NA	chrNC_000085.7	+	27194357	27195096	27194357	27194532	27194942	27195096	112	59,54,82	0,3,1	115,51,185	2,1,8	510	100	0.131901036066	0.4829839080633875	1.0,0.779,0.941	0.919,0.909,0.819	0.024
116	"Trpm3"	NA	chrNC_000085.7	+	22743997	22746744	22743997	22744172	22744905	22746744	116	149,24,117	48,12,33	123,168,27	46,34,11	833	100	0.675023899989	1.0	0.271,0.194,0.299	0.243,0.372,0.228	-0.026
117	"Trpm3"	NA	chrNC_000085.7	+	22964219	22972774	22964219	22964503	22966157	22972774	117	938,288,469	27,11,14	807,649,303	20,20,27	1754	100	0.356114791255	0.8189187432832257	0.665,0.599,0.656	0.697,0.649,0.39	0.061
120	"Gm30042"	NA	chrNC_000085.7	+	10267535	10268936	10267535	10268311	10268797	10268936	120	2,2,0	2,0,0	0,0,2	0,0,0	586	100	1	1.0	0.146,1.0,NA	NA,NA,1.0	-0.427
124	"Rab3il1"	NA	chrNC_000085.7	+	10011820	10015744	10011820	10012446	10015421	10015744	124	142,193,165	0,3,0	170,161,188	1,1,4	3075	100	0.0630390725256	0.3172554353404834	1.0,0.677,1.0	0.847,0.84,0.605	0.128
125	"Ahnak"	NA	chrNC_000085.7	+	8979062	8996560	8979062	8982525	8989524	8996560	125	13517,11407,13299	9,6,19	16374,11158,6081	13,11,5	7099	100	0.896791230871	1.0	0.955,0.964,0.908	0.947,0.935,0.945	0.0
126	"Ahnak"	NA	chrNC_000085.7	+	8979062	8996560	8979062	8988831	8991969	8996560	126	11588,10007,12814	157,103,165	13484,10976,5201	153,124,53	3238	100	0.34438298478	0.808353907131956	0.695,0.75,0.706	0.731,0.732,0.752	-0.021
127	"1810009A15Rik"	NA	chrNC_000085.7	+	8866246	8866612	8866246	8866328	8866487	8866612	127	67,56,79	412,481,511	78,75,56	462,453,375	259	100	0.389585968567	0.8526184721917132	0.059,0.043,0.056	0.061,0.06,0.055	-0.006
128	"Lgals12"	NA	chrNC_000085.7	-	7584026	7584558	7584026	7584188	7584491	7584558	128	0,4,3	0,0,0	1,7,0	1,2,0	403	100	1	1.0	NA,1.0,1.0	0.199,0.465,NA	0.668
129	"Zfta"	NA	chrNC_000085.7	+	7399278	7403273	7399278	7399827	7400007	7403273	129	68,47,27	26,24,34	33,63,57	25,31,49	280	100	0.727290071936	1.0	0.483,0.412,0.221	0.32,0.421,0.294	0.027
130	"Gpr137"	NA	chrNC_000085.7	-	6917719	6918347	6917719	6917769	6917850	6918347	130	210,239,289	346,427,428	328,250,225	554,413,552	181	100	0.151723284989	0.5249691199835378	0.251,0.236,0.272	0.246,0.251,0.184	0.026
131	"Gpr137"	NA	chrNC_000085.7	-	6917719	6918845	6917719	6917850	6918459	6918845	131	3091,3783,3859	95,119,129	4905,3309,4238	165,126,134	709	100	0.514457902874	0.9778139419850527	0.821,0.818,0.808	0.807,0.787,0.817	0.012
132	"Sf1"	NA	chrNC_000085.7	+	6425687	6428060	6425687	6425892	6426325	6428060	132	1527,1656,1530	0,2,4	1853,1375,2034	5,1,0	533	100	1	1.0	1.0,0.994,0.986	0.986,0.996,1.0	-0.001
133	"Map3k11"	NA	chrNC_000085.7	+	5739504	5741016	5739504	5739540	5739716	5741016	133	25,26,20	18,29,22	24,24,22	20,15,24	276	100	0.598066874373	1.0	0.335,0.245,0.248	0.303,0.367,0.249	-0.03
134	"Ap5b1"	NA	chrNC_000085.7	+	5618051	5618635	5618051	5618111	5618467	5618635	134	13,7,14	10,22,15	24,12,14	7,16,13	456	100	0.103326651903	0.4159027546447387	0.222,0.065,0.17	0.429,0.141,0.191	-0.101
135	"Ccdc85b"	NA	chrNC_000085.7	-	5503190	5507591	5503190	5507212	5507367	5507591	135	2000,1718,1718	29,40,29	1148,1499,1964	28,39,39	255	100	0.135983223275	0.49064217046520275	0.964,0.944,0.959	0.941,0.938,0.952	0.012
136	"Rbm4b"	NA	chrNC_000085.7	+	4810040	4812675	4810040	4810310	4812004	4812675	136	268,249,212	4,2,0	182,223,263	6,4,0	1794	100	0.20206289254	0.6165804835220572	0.789,0.874,1.0	0.628,0.757,1.0	0.093
137	"Rbm4b"	NA	chrNC_000085.7	+	4812004	4815968	4812004	4812675	4814377	4815968	137	239,235,218	3,3,3	250,207,260	11,2,3	1802	100	0.307077761225	0.7650677659136081	0.816,0.813,0.801	0.558,0.852,0.828	0.064
139	"Rbm4b"	NA	chrNC_000085.7	+	4814377	4815968	4814377	4814599	4815290	4815968	139	93,73,99	0,1,1	80,109,123	2,0,0	791	100	1	1.0	1.0,0.902,0.926	0.835,1.0,1.0	-0.002
140	"Rbm4b"	NA	chrNC_000085.7	+	4812004	4815968	4812004	4812675	4815371	4815968	140	371,333,350	83,78,83	357,346,414	70,91,97	2796	100	0.977048831358	1.0	0.138,0.132,0.131	0.154,0.12,0.132	-0.002
141	"Rbm4b"	NA	chrNC_000085.7	+	4814377	4815968	4814377	4814599	4815371	4815968	141	106,80,106	0,0,0	85,119,128	8,1,2	872	100	4.18499450272e-06	0.0007887483756891107	1.0,1.0,1.0	0.549,0.932,0.88	0.213
