ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	"Uty"	NA	chrNC_000087.8	-	1136274	1136996	1136847	1136996	1134871	1134986	1	0,0,8	0,0,66	20,5,20	81,51,46	673	100	1	1.0	NA,NA,0.018	0.035,0.014,0.061	-0.019
2	"Uty"	NA	chrNC_000087.8	-	1245406	1245737	1245512	1245737	1245155	1245219	2	0,0,106	0,0,0	88,103,83	2,0,0	206	100	1	1.0	NA,NA,1.0	0.955,1.0,1.0	0.015
3	"Frmpd4"	NA	chrNC_000086.8	-	166905781	166907409	166907000	166907409	166680537	166680634	3	14,18,8	3,0,0	10,16,61	1,4,8	1319	100	0.056504718342	0.3453753604400919	0.261,1.0,1.0	0.431,0.233,0.366	0.41
10	"Phka2"	NA	chrNC_000086.8	+	159369774	159369950	159369774	159369945	159371960	159372014	10	2,4,14	86,103,111	15,5,8	150,93,117	105	100	0.562876984321	1.0	0.022,0.036,0.107	0.087,0.049,0.061	-0.011
12	"Bclaf3"	NA	chrNC_000086.8	+	158349423	158349538	158349423	158349451	158350914	158351010	12	48,50,79	2,2,2	53,78,64	0,0,0	187	100	0.044150145564	0.30415350896349713	0.928,0.93,0.955	1.0,1.0,1.0	-0.062
13	"Bclaf3"	NA	chrNC_000086.8	+	158349423	158350361	158349423	158349451	158350914	158351010	13	39,34,49	2,2,2	70,65,84	0,0,0	1010	100	1.86421054015e-05	0.0027420247664241403	0.659,0.627,0.708	1.0,1.0,1.0	-0.335
14	"Bclaf3"	NA	chrNC_000086.8	+	158349423	158350361	158349423	158349538	158350914	158351010	14	19,14,11	28,30,41	46,30,58	29,43,38	923	100	8.55559069113e-06	0.00149437650738404	0.068,0.048,0.028	0.147,0.07,0.142	-0.072
16	"Iqsec2"	NA	chrNC_000086.8	+	150999336	150999462	150999336	150999435	151001872	151001972	16	174,145,185	1,1,0	204,184,226	1,0,3	127	100	1	1.0	0.993,0.991,1.0	0.994,1.0,0.983	0.002
17	"Huwe1"	NA	chrNC_000086.8	+	150584149	150584362	150584149	150584255	150586171	150586565	17	49,37,35	0,3,0	45,33,57	0,0,0	207	100	0.786501536185	1.0	1.0,0.856,1.0	1.0,1.0,1.0	-0.048
18	"Huwe1"	NA	chrNC_000086.8	+	150584149	150584362	150584149	150584255	150589267	150589403	18	34,24,22	0,0,0	31,28,53	0,0,2	207	100	1	1.0	1.0,1.0,1.0	1.0,1.0,0.928	0.024
19	"Huwe1"	NA	chrNC_000086.8	+	150586751	150587536	150586751	150586798	150589267	150589403	19	42,38,49	4,1,3	78,40,35	0,3,3	838	100	0.473916146122	1.0	0.556,0.819,0.661	1.0,0.614,0.582	-0.053
20	"Huwe1"	NA	chrNC_000086.8	+	150586751	150587536	150586751	150586798	150589271	150589403	20	36,36,43	0,0,1	84,45,39	1,2,0	838	100	0.755716162085	1.0	1.0,1.0,0.837	0.909,0.729,1.0	0.066
21	"Huwe1"	NA	chrNC_000086.8	+	150659808	150659903	150659808	150659876	150661713	150661905	21	140,135,118	27,21,12	184,125,205	26,15,33	127	100	0.813678714691	1.0	0.803,0.835,0.886	0.848,0.868,0.83	-0.007
22	"Huwe1"	NA	chrNC_000086.8	+	150706474	150706602	150706474	150706557	150707657	150707757	22	195,162,235	72,77,66	266,207,221	68,65,89	145	100	0.399966754295	0.94619674605228	0.651,0.592,0.711	0.73,0.687,0.631	-0.031
23	"Maged2"	NA	chrNC_000086.8	-	149597197	149597341	149597224	149597341	149595666	149595733	23	1,1,2	34,36,54	4,1,6	74,59,70	127	100	0.122277692181	0.5203939955560934	0.023,0.021,0.028	0.041,0.013,0.063	-0.015
24	"Tro"	NA	chrNC_000086.8	-	149428689	149432651	149432543	149432651	149427705	149428517	24	3487,4157,1772	2,0,0	1868,3225,7876	0,1,0	3954	100	1	1.0	0.978,1.0,1.0	1.0,0.988,1.0	-0.003
25	"Tro"	NA	chrNC_000086.8	-	149440194	149440427	149440253	149440427	149438879	149438949	25	2,2,4	27,23,17	0,2,8	7,11,39	159	100	0.587473852863	1.0	0.045,0.052,0.129	0.0,0.103,0.114	0.003
26	"Pfkfb1"	NA	chrNC_000086.8	+	149371238	149371409	149371238	149371338	149371940	149372040	26	2,2,0	1,0,5	4,0,7	1,4,4	171	100	0.601947063628	1.0	0.539,1.0,0.0	0.701,0.0,0.506	0.111
27	"Htr2c"	NA	chrNC_000086.8	+	145952565	145952766	145952565	145952671	145976764	145980273	27	88,93,42	14,12,2	39,68,122	11,19,6	195	100	0.390024215175	0.9330371180282157	0.763,0.799,0.915	0.645,0.647,0.912	0.091
29	"Psmd10"	NA	chrNC_000086.8	-	139852895	139853062	139852974	139853062	139849173	139850058	29	361,408,511	73,85,66	468,389,349	68,56,60	179	100	0.307424438823	0.8412031641945276	0.734,0.728,0.812	0.794,0.795,0.765	-0.027
30	"Mid2"	NA	chrNC_000086.8	+	139651570	139651804	139651570	139651714	139661933	139662095	30	16,20,20	93,66,64	41,39,20	111,106,88	190	100	0.180912697965	0.6410701858573796	0.083,0.138,0.141	0.163,0.162,0.107	-0.023
31	"Tceal3"	NA	chrNC_000086.8	+	135493607	135493908	135493607	135493712	135494950	135494999	31	2,1,0	6,13,7	2,0,6	17,5,33	296	100	0.135309167632	0.5488299764721585	0.101,0.025,0.0	0.038,0.0,0.058	0.01
32	"Gprasp2"	NA	chrNC_000086.8	+	134741141	134741257	134741141	134741218	134741367	134741439	32	6,8,5	50,56,47	10,14,8	54,54,96	139	100	0.364737679927	0.9068685375171911	0.079,0.093,0.071	0.118,0.157,0.057	-0.03
33	"Gprasp2"	NA	chrNC_000086.8	+	134741367	134741443	134741367	134741439	134741601	134741673	33	2,0,0	77,91,75	2,0,0	140,81,212	104	100	1	1.0	0.024,0.0,0.0	0.014,0.0,0.0	0.003
36	"Armcx2"	NA	chrNC_000086.8	-	133708202	133708474	133708369	133708474	133708010	133708076	36	282,302,286	9,8,7	248,301,375	0,4,9	267	100	0.0363369613521	0.2732278780053869	0.921,0.934,0.939	1.0,0.966,0.94	-0.037
37	"Armcx2"	NA	chrNC_000086.8	-	133708351	133708474	133708369	133708474	133708202	133708262	37	2,5,1	250,208,254	3,3,9	183,217,283	118	100	0.237159668591	0.7366975403730803	0.007,0.02,0.003	0.014,0.012,0.026	-0.007
38	"Armcx4"	NA	chrNC_000086.8	+	133587896	133587980	133587896	133587974	133588765	133588843	38	4,2,0	20,18,9	1,3,8	12,18,25	106	100	0.16445051367	0.6106081074443224	0.159,0.095,0.0	0.073,0.136,0.232	-0.062
39	"Armcx4"	NA	chrNC_000086.8	+	133588765	133588855	133588765	133588843	133589198	133589281	39	29,24,20	5,3,3	16,24,42	8,3,3	112	100	0.871351072798	1.0	0.838,0.877,0.856	0.641,0.877,0.926	0.042
40	"Drp2"	NA	chrNC_000086.8	+	133340668	133340870	133340668	133340825	133341083	133341169	40	149,206,179	4,5,3	188,115,146	3,2,1	145	100	0.166347151129	0.6143632302461013	0.963,0.966,0.976	0.977,0.975,0.99	-0.012
41	"Zfp711"	NA	chrNC_000086.8	+	111534435	111535181	111534435	111534573	111537800	111537845	41	2,6,2	8,22,5	5,2,13	6,9,32	708	100	0.238103342471	0.737960475276984	0.034,0.037,0.053	0.105,0.03,0.054	-0.022
46	"Pbdc1"	NA	chrNC_000086.8	+	104148709	104148894	104148709	104148818	104159919	104160031	46	7,8,12	8,2,3	5,8,3	6,3,3	176	100	0.366462084085	0.9081933529319065	0.332,0.694,0.694	0.321,0.602,0.362	0.145
49	"Gm32262"	NA	chrNC_000086.8	+	101516690	101528190	101516690	101525596	101528988	101529129	49	6,5,1	3,6,0	1,4,3	4,0,0	2694	100	0.746544325322	1.0	0.069,0.03,1.0	0.009,1.0,1.0	-0.303
51	"Gdpd2"	NA	chrNC_000086.8	+	99773442	99773801	99773442	99773673	99775677	99775791	51	543,471,596	170,192,173	670,649,489	224,202,156	228	100	0.749892673771	1.0	0.583,0.518,0.602	0.567,0.585,0.579	-0.009
52	"Gdpd2"	NA	chrNC_000086.8	+	99776399	99776548	99776399	99776493	99776677	99776737	52	172,185,220	617,743,666	205,234,266	814,653,617	155	100	0.0902727074881	0.441052668753048	0.152,0.138,0.176	0.14,0.188,0.218	-0.027
53	"Pdzd11"	NA	chrNC_000086.8	-	99669421	99669547	99669491	99669547	99668893	99668993	53	268,310,293	264,250,292	404,308,319	273,274,210	170	100	0.0330438009214	0.25735926975687423	0.374,0.422,0.371	0.465,0.398,0.472	-0.056
55	"Ophn1"	NA	chrNC_000086.8	-	97756507	97757817	97757712	97757817	97755946	97756076	55	102,105,111	52,44,63	234,120,168	74,37,79	1305	100	0.0354898320575	0.270072848790887	0.131,0.155,0.119	0.195,0.199,0.14	-0.043
56	"Hsf3"	NA	chrNC_000086.8	-	95499290	95499900	95499873	95499900	95400740	95400849	56	0,3,0	0,0,0	4,0,0	0,0,2	683	100	1	1.0	NA,1.0,NA	1.0,NA,0.0	0.5
57	"Arhgef9"	NA	chrNC_000086.8	-	94098486	94098617	94098548	94098617	94092540	94095760	57	6,2,10	201,249,110	4,8,7	141,249,483	162	100	0.316038609102	0.8502512097065434	0.018,0.005,0.053	0.017,0.019,0.009	0.01
58	"Arhgef9"	NA	chrNC_000086.8	-	94209194	94209971	94209198	94209971	94174441	94174621	58	61,45,59	23,26,27	64,46,140	26,40,46	104	100	0.87012753387	1.0	0.718,0.625,0.678	0.703,0.525,0.745	0.016
59	"Arhgef9"	NA	chrNC_000086.8	-	94209194	94209971	94209205	94209971	94174441	94174621	59	73,49,60	134,175,107	66,53,152	166,167,232	111	100	0.9236537785	1.0	0.329,0.201,0.336	0.264,0.222,0.371	0.003
60	"Arhgef9"	NA	chrNC_000086.8	-	94209198	94209971	94209205	94209971	94174441	94174621	60	35,30,28	134,175,107	28,47,58	166,167,232	107	100	0.791355278194	1.0	0.196,0.138,0.197	0.136,0.208,0.189	-0.001
61	"Arhgef9"	NA	chrNC_000086.8	-	94209194	94209971	94209198	94209971	94208282	94208310	61	1,1,1	0,0,0	8,7,12	0,0,3	104	100	0.705458987083	1.0	1.0,1.0,1.0	1.0,1.0,0.794	0.069
62	"Arhgef9"	NA	chrNC_000086.8	-	94209194	94209971	94209205	94209971	94208282	94208310	62	13,5,2	1,0,0	10,14,24	0,3,0	111	100	0.784739957313	1.0	0.921,1.0,1.0	1.0,0.808,1.0	0.038
63	"Arhgef9"	NA	chrNC_000086.8	-	94209198	94209971	94209205	94209971	94208282	94208310	63	12,4,1	1,0,0	2,7,15	0,3,0	107	100	0.640269831618	1.0	0.918,1.0,1.0	1.0,0.686,1.0	0.077
64	"Arhgef9"	NA	chrNC_000086.8	-	94209198	94209971	94209205	94209971	94208624	94208691	64	12,4,1	3,0,0	2,7,14	0,7,0	107	100	0.0936982130555	0.4488947532898926	0.789,1.0,1.0	1.0,0.483,1.0	0.102
65	"Zfx"	NA	chrNC_000086.8	-	93141888	93142458	93141912	93142458	93125430	93125574	65	32,18,14	4,2,2	15,12,16	6,0,5	124	100	0.302942445564	0.834111482301667	0.866,0.879,0.85	0.668,1.0,0.721	0.069
66	"Zfx"	NA	chrNC_000086.8	-	93141888	93142458	93141912	93142458	93125755	93125905	66	127,85,84	0,0,1	112,149,98	0,3,2	124	100	0.718889360462	1.0	1.0,1.0,0.985	1.0,0.976,0.975	0.011
67	"Zfx"	NA	chrNC_000086.8	-	93157771	93157869	93157801	93157869	93145896	93145986	67	0,0,1	50,61,55	1,3,1	41,74,53	130	100	0.495194620047	1.0	0.0,0.0,0.014	0.018,0.03,0.014	-0.016
68	"Zfx"	NA	chrNC_000086.8	-	93165527	93165931	93165758	93165931	93145896	93145986	68	6,6,2	4,3,0	10,16,4	5,1,6	331	100	0.921280664415	1.0	0.312,0.377,1.0	0.377,0.829,0.168	0.105
