ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"Ddx3y"	NA	chrNC_000087.8	-	1263569	1263700	1263569	1263697	1263795	1263949	0	0,0,207	0,0,114	268,168,188	145,131,115	103	100	1	1.0	NA,NA,0.638	0.642,0.555,0.613	0.035
1	"Ddx3y"	NA	chrNC_000087.8	-	1282900	1282968	1282900	1282948	1284321	1284382	1	0,0,2	0,0,245	1,3,2	329,268,219	120	100	1	1.0	NA,NA,0.007	0.003,0.009,0.008	0.0
3	"Uty"	NA	chrNC_000087.8	-	1170903	1171002	1170903	1170954	1174727	1174854	3	0,0,112	0,0,3	72,106,71	4,0,3	148	100	1	1.0	NA,NA,0.962	0.924,1.0,0.941	0.007
4	"Uty"	NA	chrNC_000087.8	-	1245155	1245219	1245155	1245216	1245406	1245512	4	0,0,55	0,0,1	68,60,37	0,5,1	103	100	1	1.0	NA,NA,0.982	1.0,0.921,0.973	0.017
5	"Kdm5d"	NA	chrNC_000087.8	+	910656	910849	910685	910849	910447	910586	5	0,0,7	0,0,51	2,5,8	65,79,50	129	100	1	1.0	NA,NA,0.096	0.023,0.047,0.11	0.036
6	"Kdm5d"	NA	chrNC_000087.8	+	927212	927439	927244	927439	927006	927126	6	0,0,4	0,0,99	0,4,2	107,98,84	132	100	1	1.0	NA,NA,0.03	0.0,0.03,0.018	0.014
7	"Kdm5d"	NA	chrNC_000087.8	+	927602	927891	927709	927891	927244	927439	7	0,0,19	0,0,59	28,39,41	49,48,53	207	100	1	1.0	NA,NA,0.135	0.216,0.282,0.272	-0.122
8	"Gm15246"	NA	chrNC_000086.8	+	168104750	168105838	168105745	168105838	168103417	168103693	8	113,104,53	0,2,0	146,100,146	0,0,0	1095	100	1	1.0	1.0,0.826,1.0	1.0,1.0,1.0	-0.058
9	"Gm15246"	NA	chrNC_000086.8	+	168105997	168106097	168106000	168106097	168104750	168105838	9	18,14,9	5,9,3	6,7,18	4,3,9	103	100	0.630741116721	1.0	0.778,0.602,0.744	0.593,0.694,0.66	0.059
10	"Gm15246"	NA	chrNC_000086.8	+	168113693	168113775	168113709	168113775	168105997	168106097	10	12,8,9	5,0,1	26,11,33	0,0,5	116	100	0.160971149633	0.6416871554050012	0.674,1.0,0.886	1.0,1.0,0.851	-0.097
